Node ID,Node Title,Node Type,Response,Response ID,Outcome,Outcome ID,Wait,Hover Text
1,Asylum,Terminus,,,,,,You have asylum and are authorized to work. You may apply for legal permanent residency in one year.
2,Granted relief,Terminus,,,,,,
3,Issued order of removal,Terminus,,,,,,
4,Inside the US without authorization,Terminus,,,,,,
5,Title 42 to a country other than Mexico,Terminus,,,,,,
6,Title 42 back to Mexico,Terminus,,,,,,"People often make one of several choices: they might give up the attempt, go back to their home country, go to a port of entry, or try to cross again."
7,Apply for asylum affirmatively with USCIS,Terminus,,,,,,
8,You approach the border. How do you enter?,Question,Go to a port of entry,8.1,,,,
8,You approach the border. How do you enter?,Question,Cross the border between ports of entry,8.2,,,,
8.1,Go to a port of entry,Response,Do you have a visa to enter the US?,9,,,,
8.2,Cross the border between ports of entry,Response,Were you taken into custody?,25,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
9,Do you have a visa to enter the US?,Question,Yes,,Apply for asylum affirmatively with USCIS,7,,
9,Do you have a visa to enter the US?,Question,No,,Are you a vulnerable person in contact with an NGO or lawyer who can help you file a request for a Title 42 exemption?,10,,
10,Are you a vulnerable person in contact with an NGO or lawyer who can help you file a request for a Title 42 exemption?,Question,Yes,,Processed at port of entry by CBP OFO,11,,
10,Are you a vulnerable person in contact with an NGO or lawyer who can help you file a request for a Title 42 exemption?,Question,No,,??,,,
11,Processed at port of entry by CBP OFO,Comment,,,Are you put on parole + ATD or issued a Notice to Appear?,12,,
12,Are you put on parole + ATD or issued a Notice to Appear?,Question,Yes,,Non-detained Immigration Court process,13,,
12,Are you put on parole + ATD or issued a Notice to Appear?,Question,No,,Title 8 ICE detention,18,,
13,Non-detained Immigration Court process,Comment,,,Did/Can you apply for asylum or other form of relief?,14,,
14,Did/Can you apply for asylum or other form of relief?,Question,Yes,,Did you win asylum or another form of relief?,15,,
14,Did/Can you apply for asylum or other form of relief?,Question,No,,Issued order of removal,3,,
15,Did you win asylum or another form of relief?,Question,Yes,,Granted relief,2,,
15,Did you win asylum or another form of relief?,Question,No,,Can you appeal?,16,,
16,Can you appeal?,Question,Yes,,Did you win your appeal?,17,,
16,Can you appeal?,Question,No,,Issued order of removal,3,,
17,Did you win your appeal?,Question,Yes,,Granted relief,2,,
17,Did you win your appeal?,Question,No,,Issued order of removal,3,,
18,Title 8 ICE detention,Comment,,,Did/Can you request asylum or express fear of persecution?,19,,
19,Did/Can you request asylum or express fear of persecution?,Question,Yes,,Did you pass the credible or reasonable fear interview?,20,,
19,Did/Can you request asylum or express fear of persecution?,Question,No,,Issued order of removal,3,,
20,Did you pass the credible or reasonable fear interview?,Question,Yes,,Did DHS choose to release you on parole?,22,,
20,Did you pass the credible or reasonable fear interview?,Question,No,,Did you pass IJ review?,21,,
21,Did you pass IJ review?,Question,Yes,,Did DHS choose to release you on parole?,22,,
21,Did you pass IJ review?,Question,No,,Issued order of removal,3,,
22,Did DHS choose to release you on parole?,Question,Yes,,Non-detained Immigration Court process,13,,
22,Did DHS choose to release you on parole?,Question,No,,Are you eligible for bond?,23,,
23,Are you eligible for bond?,Question,Yes,,"Did you win your bond request, and can you pay for it?",24,,
23,Are you eligible for bond?,Question,No,,Did/Can you apply for asylum or other form of relief?,14,,
24,"Did you win your bond request, and can you pay for it?",Question,Yes,,Non-detained Immigration Court process,13,,
24,"Did you win your bond request, and can you pay for it?",Question,No,,Did/Can you apply for asylum or other form of relief?,14,,
